"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/95 19:00","Longview","WA","N/A","N/A","Woman, husband, son witness &quot;star&quot; that began to move, stopped, maneuvered erratically.  Moved behind trees, winked out.","11/2/99"
"12/31/95 21:00","Lake Stevens","WA","Fireball","15 seconds","RED LIGHT HOVERING LAKE STEVENS  AREA MADE NO SOUND","1/5/11"
"12/30/95 01:00","Seattle","WA","N/A","15 min.","Woman's attention drawn to very faint light over Puget Sound.  Obj. grows brighter, then suddenly moves to W and disappears.","11/2/99"
"12/30/95 09:30","Livingston","MT","Fireball","10 secs","Close fireball flying at approx. 2000 mph flies over Interstate 90.","6/10/03"
"12/29/95 23:00","San Diego","CA","Cross","5:00","Driving North on the 805 frwy just north of the 8 frwy, saw four very bright white lights in the northern sky moving towards me, one of","1/28/99"
"12/28/95 04:35","Indian Falls","NY","N/A","-5min","Too close for comfort!","3/4/08"
"12/27/95 20:15","California (Rte. 40)","CA","N/A","5 sec.","Man w/ wife witness bizarre &quot;grayish yellow light&quot; streak almost vert. from night sky, go to horizon.  (Awaiting written rept.)","11/2/99"
"12/27/95 13:00","Orlando","FL","Circle","~30 seconds","I was amazed at the light bulb like glow and silence of the craft.","5/29/15"
"12/27/95 03:00","Winnipeg (Canada)","MB","Other","5-15mins","Weird lights over Winnipeg","2/18/01"
"12/24/95 23:30","Christiansburg","VA","Triangle","1-2 min.","4 adults see 2 conventional mil. aircraft &quot;pursuing&quot; a 3rd &quot;triangular craft w/ tiny red lights.&quot; 4th a/c approaches at high speed.","11/2/99"
"12/24/95 22:00","Centreville/Selma (area on state road 219 between)","AL","Fireball","+/- 5 seconds","Fireball over rural Alabama","8/5/01"
"12/24/95 17:30","Moro (Lee Co.) and Brinkley (Monroe Co.) (Between)","AR","Triangle","30 minutes","Star like light followed our car, changed to a triangle shape, changed back, followed airplane.","9/28/02"
"12/23/95 23:50","Warren","MA","Unknown","5 min.","A large beam of light in the back yard","10/8/07"
"12/21/95 19:30","Birchwood","AK","Fireball","6-7 minutes","Highly unusual lengthy meteor observation.","12/18/14"
"12/20/95 23:50","Schnecksville","PA","N/A","3 min.","Man &amp; daughter witness triangular obj. w/ 3 very bright white lights on the corners, 1 red light in the cntr. Obj. circled their home!","11/2/99"
"12/19/95 17:40","Indian Heights","IN","N/A","1 hour","Man, other residents, witness bizarre cluster of lights--&quot;red in middle, 3 white lights around it.&quot;  Reported to flicker.","11/2/99"
"12/19/95 15:20","Joliet","IL","Oval","10 mins","2 objects seen in clear sky hovering. seen while driving E on US 30. Object 1 appeared to 'float' around object 2. Glint from top of on","3/7/98"
"12/18/95 21:45","Scottsdale","AZ","N/A","30 min.","Man (pilot) &amp; woman witness stationary bright obj. w/ strobe lights in NE sky.  Regular strobing pattern. FAA radar negative.","11/2/99"
"12/18/95 21:00","Clinton","MS","Triangle","5 minutes","Trinagular Object","9/17/03"
"12/18/95 20:00","New York City","NY","Triangle","5 minutes","Over 28th &amp; Lexington Ave,  A Huge, hovering,  triangleish shape hovering probably over 1000 feet above crowd including 4 NYC Cops","3/21/03"
"12/17/95 20:15","Greenville","NC","N/A","7 sec.","Man witnesses 3 orange lights in triangular pattern hover momentarily, glide across sky, pause, pivot, the fade from view.","11/2/99"
"12/15/95 22:00","Ainsworth","NE","Light","30 minutes","Stationary light turns off then on then remains in sky for the entire next day, but nobody notices?","3/8/07"
"12/15/95 20:50","Hawesville","KY","Changing","Less than 5 minutes","Strange orange light/craft hovering noiselessly overhead.","7/16/06"
"12/15/95 19:30","Elkridge","MD","Fireball","4 seconds","Late December 1995 green fireball with pale green tail flew over I-95 at around 7:30. Also spotted in Annapolis around the same time.","1/7/00"
"12/14/95 21:40","Las Vegas (western; I-40, MM 264)","NV","Unknown","Couple of Seconds","Saw thick blue beam of light come down out of the sky accross a field and then back up again.","9/15/05"
"12/14/95 14:45","Pomona","CA","Round","15 min.","While delivering packages, man observes 16 round, or oval, tiny golden objs. overhead.  Objs. maneuvered, suddenly disappeared.","11/2/99"
"12/14/95 04:24","Boise","ID","N/A","N/A","FAA employee observes six objects descend out of the night sky and explode into fragments very close to ground.  Bizarre sight.","11/2/99"
"12/13/95 18:45","Upper Makefield","PA","N/A","30 sec.","Two young girls witnessed extremely bright white, spinning lights overhead.  Lts. turned blue, disappeared. Local power failure.","11/2/99"
"12/12/95 22:30","Glen","NY","N/A","15 sec.","Young woman &amp; friend witness bizarre, round obj. w/ intensely bright blue/white lights.  Pursued obj. in car;  obsrvd. it on ground.","11/2/99"
"12/10/95 23:00","Jolliet","IL","N/A","3 sec.","Man witnesses bright red streak of light travel from W to E in front of his car as he is driving N on highway.","11/2/99"
"12/10/95 22:45","Houston","TX","N/A","5 sec.","Man &amp; wife on freeway see round disc w/ red blinking lights streak by.  Obj. flipped on edge.  Wife saw door or hatch on bottom.","11/2/99"
"12/10/95 18:12","Phoenix","AZ","N/A","15 min.","Man, neighbor, 6 kids witnessed first three bright objs. in twilight sky, then two others streaked up to 1st 3.  Not stars or planets.","11/2/99"
"12/10/95 06:00","Clayton","NM","N/A","45 min.","Nurse &amp; daughter see 2 very bright objs. in a.m. sky, flashing red, white, blue lights in constant pattern. Both moved.  Not stars.","11/2/99"
"12/10/95 05:00","Rapid City","SD","Circle","15 sec","It was very early morning and I was delivering papers. I heard a very large BOOM!!! and everything turned blue. I looked toward the noi","9/9/04"
"12/9/95 18:30","Springfield","IL","N/A","9 hrs.","IL State Police/Morgan Co. Sher. relayed mult. repts. of peculiar, very brightwhite&amp;blue flashes in sky. Seen by citizens, troopers.","11/2/99"
"12/8/95 18:00","Pacific Northwest - flying from Portland to L.A., Ca/Or","CA","Changing","45 minutes","While flying from Portland oregon to Burbank, Ca. - saw a solid bright light alongside aircraft for about 45 minutes. Object would chan","1/28/99"
"12/7/95 20:40","Oldsmar","FL","Light","4 sec.","Six witnessed very bright obj. streak from N to S in E sky.  1/4 size of full moon.  Blue head,  short orange/blue tail. Silent.","11/2/99"
"12/6/95 22:45","Lynnwood","WA","N/A","2 sec.","Five youth watching TV see a &quot;black obj., w/ no lights&quot; streak by apt. window.  Later, saw beam of light over pond.  Called 911.","11/2/99"
"12/6/95 17:00","Bothell","WA","N/A","4 min.","Father &amp; daughter driving in car witness &quot;beautiful electric blue&quot; triang. shaped obj. in evening sky.  Flipped on side, maneuvered.","11/2/99"
"12/5/95 23:10","Salluit (Canada)","QC","Fireball","15-30 seconds","Blue fireball seen by three children in arctic","8/7/11"
"12/5/95 20:30","North Bend","WA","N/A","N/A","Newspaper reporter calls seeking information regarding sighting of peculiar object over N. Bend on prior night.","11/2/99"
"12/5/95 20:30","North Bend","WA","Chevron","4 min.","Two adults, 7 children, witness &quot;an orangey light, like an 1/8th moon,&quot; hover,  move south, then hover again in clouds. No sound.","11/2/99"
"12/4/95 22:16","Geneva","NY","N/A","25 min","Woman rpts a very bright stationary light in SE sky &quot;below Orion's Belt&quot; that looks &quot;like a horseshoe.&quot; Alternating red, blue, white.","11/2/99"
"12/4/95 02:14","Seattle","WA","Light","2 sec.","Man reports a brief power failure, looks outside and witnesses a luminous obj., size of star, streak from W to E in southern sky.","11/2/99"
"12/4/95 02:00","Deming","NM","Changing","40 -60 Min","Driving I10 west of Las Cruces NM a random shape object visable for more than 60 mins seem to follow my U-Hall truck.","12/7/06"
