"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/27/76 19:00","Conshohocken","PA","Other","5 minutes","Cloud turning different colors for several minutes.","6/4/14"
"12/25/76 19:00","Winslow","ME","Disk","3 minutes","two disks edge on with light on botom flying in formation.","2/1/07"
"12/15/76 22:15","Junction City","KS","Diamond","2-3 minutes","saw large diamond shaped craft fly almost directly over head at night (bright moon w/thin clouds) . Craft made humming sound that wasn'","1/28/99"
"12/12/76 21:00","Minnetonka","MN","Disk","1-2 minutes","Disc shaped object, silent, with 2 search light beams, floating through airspace in Minnetonka, Winter or 1976.","10/3/14"
"12/6/76 05:30","Davie","FL","Changing","40 minutes","I have checked your log report and found that the sighting I reported shortly after December 6, 1976, was not filed. I am dismayed but","6/20/05"
"12/3/76 23:00","Monrovia","IN","Triangle","20 min","after being followed by a ufo, a beam of light shown down on my sister","2/16/99"
"12/3/76 15:30","Milford","CT","Disk","2 hours","Saw five craft  and observed signaling after work.","3/2/04"
"11/27/76 15:00","Stead Nevada (outside of Reno)","NV","Disk","3-5min","It was Thanksgiving 1975 or 76. When I came out of our house it was hovering over our neighbors one story house. It was daylight and I ","1/28/99"
"11/26/76 03:30","Houston","TX","Circle","15 minutes","Night patrolman rendered defenseless by ALIENS and ARMORED aliens. Interlect exam took place on roof top of building.","10/12/01"
"11/25/76 23:00","Omaha","NE","Rectangle","seemed like 1 minute, but","White rectangular &quot;door&quot; opens in night sky, emiting orange beam of light","10/31/03"
"11/25/76 20:20","Virginia (western part; rural?)","VA","Fireball","2 minutes","White light above cloud cover speed about 3000 mph;the fiery ball desending at a rate of 50 mph.","7/28/10"
"11/19/76 23:00","Sierra Vista","AZ","N/A","4-5 min.","very close encounter in 1976, in arizona, with extremely large craft,seen clearly","12/2/00"
"11/17/76 15:00","Pennsylvania (30,000 ft. above on coast)","PA","Disk","15sec","i was in a jet at 30,000 ft over penn on a clear sunny day looking out the window i saw a adamski style craft all silver 40 ft in diami","8/10/99"
