"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/16 23:56","Phoenix","AZ","Triangle","2 minutes","The pyramid shaped like craft flew from the west to east.it was very cloudy weather. The craft was huge and bright with a amber color.","1/6/17"
"12/31/16 23:50","Anchorage","AK","Fireball","20 minutes","Three bright orange orbs, exhibiting odd flight patterns, above Ted Stevens Airport. ((anonymous report))","1/6/17"
"12/31/16 23:45","Wasilla","AK","Oval","3 minutes","Red glowing object over wasilla skies on new years' eve, 2016","1/6/17"
"12/31/16 23:35","Schaumburg","IL","Light","4 minutes","Orange-red lights traveling in formation quickly over suburban sky","1/6/17"
"12/31/16 23:33","North Port","FL","Sphere","6 minutes","3 orange red spheres over North Port, Florida.  ((anonymous report))","1/6/17"
"12/31/16 23:00","Fuquay","NC","N/A","8 hours","Bright lights moving around my property, shadows moving, orbs, glowing eyes.","1/6/17"
"12/31/16 23:00","Campbell","CA","Triangle","5 minutes","Three orange lights in triangle shape hover in the sky above us then disappear.","1/6/17"
"12/31/16 23:00","Northglenn","CO","Fireball","10 seconds","3 FIREBALL/ORBS FLYING TOGETHER ON NEW YEARS.","1/6/17"
"12/31/16 23:00","Saint George","UT","Light","45 seconds","2 lights N of St George Ut, Red starlike light stationary, Blue/green light moving beneath,occasionally disappearing","1/6/17"
"12/31/16 23:00","Santa Cruz","CA","Light","15 minutes","Bright white almost blue craft Above tree line speared to be moving is strange directions","1/6/17"
"12/31/16 23:00","Satellite Beach","FL","Circle","2 hours","Bright objects traveling at high rate of speed from south to north","1/6/17"
"12/31/16 22:59","Coeur d'Alene","ID","Fireball","1.5 minutes","Fireball w/ huge flames headed from vicinity of Coeur d'Alene Lake toward Pappy Boyington Airport while losing alt..((anonymous report)","1/6/17"
"12/31/16 22:50","Ponte Vedra Beach","FL","Oval",":20","Orb shaped orange light moving across the sky from E to W.  It was flying lower than an airplane with no noise.  ((anonymous report))","1/6/17"
